font_family	glyph_id	unicode	character	method	occurrences_in_recovered_docs	reference_occurrences	reference_pdfs	note
times-bold	578	U+0418	И	cross-document-glyph-id	17	126	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	579	U+0419	Й	cross-document-glyph-id	5	15	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	580	U+041A	К	cross-document-glyph-id	5	60	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	581	U+041B	Л	cross-document-glyph-id	2	15	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	582	U+041C	М	cross-document-glyph-id	7	79	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	583	U+041D	Н	cross-document-glyph-id	22	71	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	584	U+041E	О	cross-document-glyph-id	26	168	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	585	U+041F	П	cross-document-glyph-id	8	77	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	586	U+0420	Р	cross-document-glyph-id	8	187	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	587	U+0421	С	cross-document-glyph-id	14	107	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	588	U+0422	Т	cross-document-glyph-id	7	419	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
